,periodCode,platformCode,channelCode,marketingInvestment,impressions,clicks,visits,conversions,deliveries
317,20200116,Not tracked,notset,0.0,0,0,0,13,13
318,20200116,RtbHouse,rtbhouse,840.98,26607,580,433,4,3
319,20200116,Silverpop,emailing,1290.32,0,0,1399,18,13
320,20200116,Sklik,sklik_bra,100.2,199,139,148,5,5
321,20200116,Sklik,sklik_pla,306.4,3907,72,68,2,2
322,20200116,Sklik,sklik_rem,391.1,15476,109,110,0,0
323,20200116,Sklik,sklik_sea,135.38,645,63,65,1,1
324,20200116,ZboziCz,zbozi,600.51,2884,63,54,0,0
325,20200116,unpaid,direct,0.0,0,0,746,8,8
326,20200116,unpaid,facebook,0.0,0,0,20,1,1
327,20200116,unpaid,internal,0.0,0,0,137,0,0
328,20200116,unpaid,notset,0.0,0,0,32,1,1
329,20200116,unpaid,organic,0.0,0,0,750,6,5
330,20200116,unpaid,referral,0.0,0,0,252,2,2
331,20200117,AdWords,adwords_bra,141.75,437,230,279,6,5
332,20200117,AdWords,adwords_dsa,396.68,1390,64,60,0,0
333,20200117,AdWords,adwords_pla,1731.33,49053,391,548,5,5
334,20200117,AdWords,adwords_rem,683.33,23553,287,313,1,1
335,20200117,AdWords,adwords_sea,41.53,530,23,27,0,0
336,20200117,FacebookBusinessAdsManager,facebook,203.03,8200,99,0,0,0
337,20200117,FirmyCz,zbozi,80.54,758,4,1,0,0
338,20200117,HeurekaCz,heureka,84.52000000000001,0,14,20,1,1
339,20200117,Not tracked,notset,0.0,0,0,0,13,12
340,20200117,RtbHouse,rtbhouse,1172.54,24241,554,440,5,5
341,20200117,Silverpop,emailing,1290.32,0,0,1625,19,18
342,20200117,Sklik,sklik_bra,83.2,185,135,143,7,6
343,20200117,Sklik,sklik_pla,295.1,3181,66,63,0,0
344,20200117,Sklik,sklik_rem,349.09999999999997,16437,105,121,2,2
345,20200117,Sklik,sklik_sea,193.39999999999998,602,74,72,0,0
346,20200117,ZboziCz,zbozi,546.55,2387,65,50,0,0
347,20200117,unpaid,direct,0.0,0,0,567,3,3
348,20200117,unpaid,facebook,0.0,0,0,20,0,0
349,20200117,unpaid,internal,0.0,0,0,90,0,0
350,20200117,unpaid,notset,0.0,0,0,20,1,1
351,20200117,unpaid,organic,0.0,0,0,731,12,12
352,20200117,unpaid,referral,0.0,0,0,186,1,1
353,20200118,AdWords,adwords_bra,76.2,423,243,275,9,8
354,20200118,AdWords,adwords_dsa,321.13,1303,53,54,1,1
355,20200118,AdWords,adwords_pla,785.34,24502,217,294,3,3
356,20200118,AdWords,adwords_rem,432.94,16646,193,206,1,1
357,20200118,AdWords,adwords_sea,62.37,449,39,54,0,0
358,20200118,FacebookBusinessAdsManager,facebook,46.89,6327,19,0,0,0
359,20200118,FirmyCz,zbozi,80.54,758,4,1,0,0
360,20200118,HeurekaCz,heureka,102.28999999999999,0,22,39,1,1
361,20200118,Not tracked,notset,0.0,0,0,0,5,5
362,20200118,RtbHouse,rtbhouse,486.85,15658,433,349,2,2
363,20200118,Silverpop,emailing,1290.32,0,0,833,16,13
364,20200118,Sklik,sklik_bra,75.1,172,128,142,1,0
365,20200118,Sklik,sklik_pla,287.9,5031,66,65,1,1
366,20200118,Sklik,sklik_rem,356.8,13043,109,114,0,0
367,20200118,Sklik,sklik_sea,172.8,552,63,67,2,2
368,20200118,ZboziCz,zbozi,648.27,2535,73,61,1,1
369,20200118,unpaid,direct,0.0,0,0,464,3,3
370,20200118,unpaid,display,0.0,0,0,2,0,0
371,20200118,unpaid,facebook,0.0,0,0,23,0,0
372,20200118,unpaid,internal,0.0,0,0,76,0,0
373,20200118,unpaid,notset,0.0,0,0,12,0,0
374,20200118,unpaid,organic,0.0,0,0,686,3,3
375,20200118,unpaid,referral,0.0,0,0,238,1,0
376,20200119,AdWords,adwords_bra,173.22,461,263,318,10,9
377,20200119,AdWords,adwords_dsa,435.95,1168,64,64,0,0
378,20200119,AdWords,adwords_pla,6333.83,108863,1578,1819,11,11
379,20200119,AdWords,adwords_rem,720.67,22350,349,365,0,0
380,20200119,AdWords,adwords_sea,42.75,462,22,38,0,0
381,20200119,FacebookBusinessAdsManager,facebook,39.8,5838,10,0,0,0
382,20200119,FirmyCz,zbozi,80.54,758,4,0,0,0
383,20200119,HeurekaCz,heureka,118.44,0,24,33,0,0
384,20200119,Not tracked,notset,0.0,0,0,0,12,11
385,20200119,RtbHouse,rtbhouse,2194.18,18368,543,406,6,5
386,20200119,Silverpop,emailing,1290.32,0,0,451,14,12
387,20200119,Sklik,notset,0.0,0,0,1,0,0
388,20200119,Sklik,sklik_bra,97.8,204,151,168,8,8
389,20200119,Sklik,sklik_pla,210.5,3085,52,51,2,2
390,20200119,Sklik,sklik_rem,402.09999999999997,11960,122,125,0,0
391,20200119,Sklik,sklik_sea,148.2,569,63,68,1,1
392,20200119,ZboziCz,zbozi,468.67,2873,74,57,1,1
393,20200119,unpaid,direct,0.0,0,0,481,9,9
394,20200119,unpaid,display,0.0,0,0,1,0,0
395,20200119,unpaid,facebook,0.0,0,0,13,0,0
396,20200119,unpaid,internal,0.0,0,0,106,0,0
397,20200119,unpaid,notset,0.0,0,0,18,1,1
398,20200119,unpaid,organic,0.0,0,0,764,11,9
399,20200119,unpaid,referral,0.0,0,0,265,2,2
400,20200120,AdWords,adwords_bra,204.31,538,257,313,10,10
401,20200120,AdWords,adwords_dsa,404.52,1187,54,56,0,0
402,20200120,AdWords,adwords_pla,9824.19,193755,2280,2333,16,15
403,20200120,AdWords,adwords_rem,836.95,29537,395,423,2,2
404,20200120,AdWords,adwords_sea,79.38000000000001,488,39,52,0,0
405,20200120,FacebookBusinessAdsManager,facebook,180.04,8786,384,0,0,0
406,20200120,FirmyCz,zbozi,80.54,599,3,4,0,0
407,20200120,HeurekaCz,heureka,147.17,0,33,49,3,3
408,20200120,Not tracked,notset,0.0,0,0,0,22,20
409,20200120,RtbHouse,rtbhouse,149.06,22289,518,409,2,2
410,20200120,Silverpop,emailing,1290.32,0,0,1334,18,17
411,20200120,Sklik,sklik_bra,93.4,177,126,155,11,11
412,20200120,Sklik,sklik_pla,280.2,3014,63,63,1,1
413,20200120,Sklik,sklik_rem,394.2,16205,119,138,1,1
414,20200120,Sklik,sklik_sea,113.1,538,58,60,1,1
415,20200120,ZboziCz,zbozi,417.57,2723,58,57,2,2
416,20200120,unpaid,direct,0.0,0,0,587,9,9
417,20200120,unpaid,facebook,0.0,0,0,26,1,1
418,20200120,unpaid,internal,0.0,0,0,162,0,0
419,20200120,unpaid,notset,0.0,0,0,18,1,1
420,20200120,unpaid,organic,0.0,0,0,824,11,10
