,createdAt,platformCode,channelCode,marketingInvestment,impressions,clicks,visits,conversions,deliveries,revenue
154,2020-01-09,AdWords,adwords_dsa,37.57,285.0,11.0,10.0,0.0,0.0,
155,2020-01-09,AdWords,adwords_pla,10051.06,180899.0,2377.0,2415.0,24.0,24.0,104222.0
156,2020-01-09,AdWords,adwords_rem,326.43,13405.0,194.0,234.0,2.0,2.0,11198.0
157,2020-01-09,AdWords,adwords_sea,62.30000000000001,595.0,26.0,30.0,0.0,0.0,
158,2020-01-09,FacebookBusinessAdsManager,facebook,162.02,1822.0,97.0,0.0,0.0,0.0,
159,2020-01-09,FirmyCz,zbozi,80.54,705.0,5.0,3.0,0.0,0.0,
160,2020-01-09,HeurekaCz,heureka,61.52,0.0,14.0,29.0,2.0,2.0,1215.0
161,2020-01-09,Not tracked,notset,0.0,0.0,0.0,0.0,15.0,13.0,
162,2020-01-09,RtbHouse,rtbhouse,1885.06,28713.0,592.0,467.0,8.0,6.0,25810.0
163,2020-01-09,Silverpop,emailing,1290.32,0.0,0.0,1558.0,12.0,12.0,26111.0
164,2020-01-09,Sklik,notset,0.0,0.0,0.0,1.0,0.0,0.0,
165,2020-01-09,Sklik,sklik_bra,95.5,210.0,147.0,154.0,5.0,5.0,26799.0
166,2020-01-09,Sklik,sklik_pla,228.9,2849.0,55.0,51.0,0.0,0.0,
167,2020-01-09,Sklik,sklik_rem,397.3,16258.0,125.0,138.0,2.0,2.0,5866.0
168,2020-01-09,Sklik,sklik_sea,120.12,783.0,56.0,56.0,0.0,0.0,
169,2020-01-09,ZboziCz,zbozi,686.6,2616.0,64.0,51.0,0.0,0.0,
170,2020-01-09,unpaid,direct,0.0,0.0,0.0,564.0,8.0,8.0,
171,2020-01-09,unpaid,display,0.0,0.0,0.0,1.0,0.0,0.0,
172,2020-01-09,unpaid,facebook,0.0,0.0,0.0,26.0,0.0,0.0,
173,2020-01-09,unpaid,internal,0.0,0.0,0.0,159.0,0.0,0.0,
174,2020-01-09,unpaid,notset,0.0,0.0,0.0,30.0,1.0,1.0,
175,2020-01-09,unpaid,organic,0.0,0.0,0.0,786.0,14.0,14.0,
